Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Acura,MDX,SUV,Asia,All,"$36,945 ","$33,337 ",3.5,6.0,265.0,17.0,26.0,4451.0,106.0,189.0
Acura,RSX Type S 2dr,Sedan,Asia,Front,"$23,820 ","$21,761 ",2.0,4.0,200.0,24.0,34.0,2778.0,101.0,172.0
Acura,TSX 4dr,Sedan,Asia,Front,"$26,990 ","$24,647 ",2.4,4.0,200.0,22.0,32.0,3230.0,105.0,183.0
Acura,TL 4dr,Sedan,Asia,Front,"$33,195 ","$30,299 ",3.2,6.0,270.0,20.0,31.0,3575.0,108.0,186.0
Acura,3.5 RL 4dr,Sedan,Asia,Front,"$43,755 ","$39,014 ",3.5,6.0,225.0,18.0,27.0,3880.0,115.0,197.0
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,"$46,100 ","$41,100 ",3.5,6.0,225.0,18.0,27.0,3893.0,115.0,197.0
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,"$89,765 ","$79,978 ",3.2,6.0,290.0,17.0,27.0,3153.0,100.0,174.0
Audi,A4 1.8T 4dr,Sedan,Europe,Front,"$25,940 ","$23,508 ",1.8,4.0,170.0,22.0,34.0,3252.0,104.0,179.0
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,"$35,940 ","$32,506 ",1.8,4.0,170.0,23.0,33.0,3638.0,105.0,180.0
Audi,A4 3.0 4dr,Sedan,Europe,Front,"$31,840 ","$28,846 ",3.0,6.0,220.0,20.0,31.0,3462.0,104.0,179.0
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,"$33,430 ","$30,366 ",3.0,6.0,220.0,17.0,29.0,3583.0,104.0,179.0
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,"$34,480 ","$31,388 ",3.0,6.0,220.0,18.0,28.0,3627.0,104.0,179.0
